feature,display_name,importance_mean,importance_std
event_point-up_in_2d,Point-up campaign in 2 days,0.0,0.0
event_point-up_in_3d,Point-up campaign in 3 days,0.0,0.0
event_point-up_after_3d,Point-up campaign 3 days ago,0.0,0.0
event_point-up_in_7d,Point-up campaign in 7 days,0.0,0.0
event_point-up_after_7d,Point-up campaign 7 days ago,0.0,0.0
event_eagles_in_1d,Sports win campaign in 1 day,0.0,0.0
event_eagles_after_1d,Sports win campaign 1 day ago,0.0,0.0
event_eagles_in_2d,Sports win campaign in 2 days,0.0,0.0
event_eagles_after_2d,Sports win campaign 2 days ago,0.0,0.0
event_eagles_in_3d,Sports win campaign in 3 days,0.0,0.0
event_eagles_after_3d,Sports win campaign 3 days ago,0.0,0.0
event_eagles_in_7d,Sports win campaign in 7 days,0.0,0.0
event_eagles_after_7d,Sports win campaign 7 days ago,0.0,0.0
event_singles-day_in_1d,Singles Day in 1 day,0.0,0.0
event_singles-day_after_1d,Singles Day 1 day ago,0.0,0.0
event_singles-day_in_2d,Singles Day in 2 days,0.0,0.0
event_singles-day_after_2d,Singles Day 2 days ago,0.0,0.0
event_singles-day_in_3d,Singles Day in 3 days,0.0,0.0
event_singles-day_after_3d,Singles Day 3 days ago,0.0,0.0
event_singles-day_after_7d,Singles Day 7 days ago,0.0,0.0
event_black-friday_in_1d,Black Friday in 1 day,0.0,0.0
event_black-friday_after_1d,Black Friday 1 day ago,0.0,0.0
event_black-friday_in_2d,Black Friday in 2 days,0.0,0.0
event_black-friday_after_2d,Black Friday 2 days ago,0.0,0.0
event_point-up_after_2d,Point-up campaign 2 days ago,0.0,0.0
event_point-up_after_1d,Point-up campaign 1 day ago,0.0,0.0
event_black-friday_after_3d,Black Friday 3 days ago,0.0,0.0
event_point-up_in_1d,Point-up campaign in 1 day,0.0,0.0
event_thanks-giving,Thanks Giving active today,0.0,0.0
event_newyear-sale,Newyear Sale active today,0.0,0.0
event_event,Event active today,0.0,0.0
event_39shop,39 Shop campaign active today,0.0,0.0
event_fathers-day,Fathers Day active today,0.0,0.0
event_mothers-day,Mothers Day active today,0.0,0.0
any_event,Any Rakuten event active,0.0,0.0
event_barcelona_in_1d,Barcelona in 1 day,0.0,0.0
event_barcelona_after_1d,Barcelona 1 day ago,0.0,0.0
event_barcelona_in_2d,Barcelona in 2 days,0.0,0.0
event_barcelona_after_2d,Barcelona 2 days ago,0.0,0.0
event_barcelona_in_3d,Barcelona in 3 days,0.0,0.0
event_barcelona_after_3d,Barcelona 3 days ago,0.0,0.0
event_barcelona_in_7d,Barcelona in 7 days,0.0,0.0
event_barcelona_after_7d,Barcelona 7 days ago,0.0,0.0
event_user-ranking_in_1d,User Ranking in 1 day,0.0,0.0
event_user-ranking_after_1d,User Ranking 1 day ago,0.0,0.0
event_user-ranking_in_2d,User Ranking in 2 days,0.0,0.0
event_user-ranking_after_2d,User Ranking 2 days ago,0.0,0.0
event_user-ranking_in_3d,User Ranking in 3 days,0.0,0.0
event_user-ranking_after_3d,User Ranking 3 days ago,0.0,0.0
event_user-ranking_in_7d,User Ranking in 7 days,0.0,0.0
event_user-ranking_after_7d,User Ranking 7 days ago,0.0,0.0
event_black-friday_in_3d,Black Friday in 3 days,0.0,0.0
event_event_after_3d,Event 3 days ago,0.0,0.0
event_thanks-giving_after_3d,Thanks Giving 3 days ago,0.0,0.0
event_thanks-giving_in_3d,Thanks Giving in 3 days,0.0,0.0
event_thank-you_in_3d,Thanksgiving Festival in 3 days,0.0,0.0
event_newyear-sale_after_7d,Newyear Sale 7 days ago,0.0,0.0
event_event_in_2d,Event in 2 days,0.0,0.0
event_event_after_1d,Event 1 day ago,0.0,0.0
event_thanks-giving_in_1d,Thanks Giving in 1 day,0.0,0.0
event_thanks-giving_after_1d,Thanks Giving 1 day ago,0.0,0.0
event_thanks-giving_in_2d,Thanks Giving in 2 days,0.0,0.0
event_thanks-giving_after_2d,Thanks Giving 2 days ago,0.0,0.0
event_event_in_1d,Event in 1 day,0.0,0.0
event_event_in_3d,Event in 3 days,0.0,0.0
event_thanks-giving_in_7d,Thanks Giving in 7 days,0.0,0.0
event_thanks-giving_after_7d,Thanks Giving 7 days ago,0.0,0.0
event_newyear-sale_in_1d,Newyear Sale in 1 day,0.0,0.0
event_newyear-sale_after_1d,Newyear Sale 1 day ago,0.0,0.0
event_newyear-sale_in_2d,Newyear Sale in 2 days,0.0,0.0
event_newyear-sale_after_2d,Newyear Sale 2 days ago,0.0,0.0
event_newyear-sale_in_3d,Newyear Sale in 3 days,0.0,0.0
event_newyear-sale_after_3d,Newyear Sale 3 days ago,0.0,0.0
event_event_after_2d,Event 2 days ago,0.0,0.0
event_newyear-sale_in_7d,Newyear Sale in 7 days,0.0,0.0
event_point-back,Point-back campaign active today,0.0,0.0
event_event_after_7d,Event 7 days ago,0.0,0.0
event_event_in_7d,Event in 7 days,0.0,0.0
event_thank-you_in_2d,Thanksgiving Festival in 2 days,0.0,0.0
event_fashionthesale_in_2d,Fashionthesale in 2 days,0.0,0.0
event_black-friday_in_7d,Black Friday in 7 days,0.0,0.0
event_point-back_after_7d,Point-back campaign 7 days ago,0.0,0.0
event_point-back_in_7d,Point-back campaign in 7 days,0.0,0.0
event_point-back_in_1d,Point-back campaign in 1 day,0.0,0.0
event_point-back_after_3d,Point-back campaign 3 days ago,0.0,0.0
event_point-back_in_3d,Point-back campaign in 3 days,0.0,0.0
event_point-back_after_2d,Point-back campaign 2 days ago,0.0,0.0
event_point-back_after_1d,Point-back campaign 1 day ago,0.0,0.0
event_point-back_in_2d,Point-back campaign in 2 days,0.0,0.0
is_month_end,End of month,-2.401874218405098e-07,2.564499898342343e-06
event_black-friday_after_7d,Black Friday 7 days ago,-1.2786975215561823e-06,1.0184391213947604e-05
event_fashionthesale_in_3d,Fashionthesale in 3 days,-2.383429130348169e-06,1.081673923065406e-05
event_zero-five_after_7d,5 and 0 day 7 days ago,-2.6044552355886097e-06,5.145712786213296e-05
holiday_in_7d,Japan holiday in 7 days,-2.750834294795723e-06,1.59996945633001e-05
holiday_in_2d,Japan holiday in 2 days,-2.823653971928408e-06,3.300620320367169e-06
event_supersale_in_1d,Rakuten Super Sale in 1 day,-3.83471272447089e-06,1.0412728813809038e-05
promo_or_holiday_count_next_7d,Promotions or holidays in next 7 days,-4.565331671746442e-06,0.0001055530033138
event_zero-five_in_3d,5 and 0 day in 3 days,-5.327959626777456e-06,6.001413294465402e-05
holiday_count_next_14d,Number of Japan holidays in next 14 days,-6.095732315802849e-06,5.0509135582671406e-05
event_ichiba-day_after_7d,18th Ichiba Day 7 days ago,-7.235041751951776e-06,7.3513797303012926e-06
event_zero-five_after_3d,5 and 0 day 3 days ago,-1.1538985365611156e-05,2.6108311731660736e-05
event_wonderful-day_in_2d,Wonderful Day in 2 days,-1.2121982715385116e-05,9.56148589294536e-06
event_wonderful-day_in_1d,Wonderful Day in 1 day,-1.5096610310716408e-05,2.135247660318903e-06
event_thank-you_after_3d,Thanksgiving Festival 3 days ago,-1.557634132258734e-05,1.2193628169745892e-05
event_fashionthesale_after_3d,Fashionthesale 3 days ago,-1.699654180646881e-05,1.868839817135419e-06
holiday_after_7d,Japan holiday 7 days ago,-2.063111087977631e-05,5.386255380315391e-05
event_thank-you_after_2d,Thanksgiving Festival 2 days ago,-2.2200567403629633e-05,1.0157055187415907e-05
event_fashionthesale_after_1d,Fashionthesale 1 day ago,-2.5170868481150244e-05,1.609121729872282e-05
event_strength_score_in_3d,Active event strength score in 3 days,-2.913447844612449e-05,5.895778920075124e-05
event_zero-five_after_2d,5 and 0 day 2 days ago,-3.557753820337961e-05,3.1696532999957954e-05
event_thank-you_in_7d,Thanksgiving Festival in 7 days,-4.5341287190114875e-05,3.099278610278129e-05
event_bonus_point_multiplier_next_3d,Active event bonus point multiplier over next 3 days,-4.6996595875814506e-05,3.7735114240242493e-05
event_point_cap_next_7d,Active event point cap over next 7 days,-5.6966657026991105e-05,2.5650763146309553e-05
event_marathon,Shopping Marathon active today,-5.757464872897522e-05,6.972823244855508e-05
event_supersale,Rakuten Super Sale active today,-6.233113526397105e-05,8.13389977160805e-05
event_count_after_7d,Count 7 days ago,-7.016443473695233e-05,0.00012418962859
holiday_count_prev_7d,Number of Japan holidays in previous 7 days,-7.394268768610158e-05,3.45196738599195e-05
holiday_after_3d,Japan holiday 3 days ago,-9.62560426583492e-05,3.441662589327154e-05
event_thank-you_after_7d,Thanksgiving Festival 7 days ago,-0.0001104789454418,4.458100680077994e-05
event_marathon_after_1d,Shopping Marathon 1 day ago,-0.0001222481547999,8.144360658759728e-05
cos_month,Yearly seasonality pattern,-0.000166289346212,6.901677510339148e-05
event_shoparound_strength_next_7d,Active shop-around promotion strength over next 7 days,-0.0001900611850601,0.0001145333879701
event_count_next_7d,Count_Next_7D active today,-0.0002129725756801,7.767434757850689e-05
mean_rank,Average ranking position,-0.0002168125081166,0.0004278962360526
event_count_next_14d,Count_Next_14D active today,-0.0002332166101102,5.772114251665568e-05
event_strength_score_in_7d,Active event strength score in 7 days,-0.0002639758148227,0.0001931572733927
event_count_after_3d,Count 3 days ago,-0.000269728675536,0.0001750736597205
days_since_event,Days since previous Rakuten event,-0.0003943823471247,0.0001315632060866
month,Month,-0.0010159939108991,0.0003887980307268
